datetime,gw_elev[ft],gw_elev[m]
5/1/2019,1251.16,381.353568
5/2/2019,1251.09,381.332232
5/3/2019,1251,381.3048
5/4/2019,1250.91,381.277368
5/5/2019,1250.84,381.256032
5/6/2019,1250.73,381.222504
5/7/2019,1250.64,381.195072
5/8/2019,1250.97,381.295656
5/9/2019,1251.33,381.405384
5/10/2019,1251.25,381.381
5/11/2019,1251.27,381.387096
5/12/2019,1251.24,381.377952
5/13/2019,1251.18,381.359664
5/14/2019,1251.1,381.33528
5/15/2019,1251.02,381.310896
5/16/2019,1250.95,381.28956
5/17/2019,1250.85,381.25908
5/18/2019,1251.11,381.338328
5/19/2019,1252.33,381.710184
5/20/2019,1252.03,381.618744
5/21/2019,1251.88,381.573024
5/22/2019,1251.95,381.59436
5/23/2019,1251.72,381.524256
5/24/2019,1251.79,381.545592
5/25/2019,1251.66,381.505968
5/26/2019,1251.55,381.47244
5/27/2019,1252.41,381.734568
5/28/2019,1252.57,381.783336
5/29/2019,1252.18,381.664464
5/30/2019,1251.93,381.588264
5/31/2019,1251.76,381.536448
6/1/2019,1251.65,381.50292
6/2/2019,1251.55,381.47244
6/3/2019,1251.49,381.454152
6/4/2019,1251.49,381.454152
6/5/2019,1251.48,381.451104
6/6/2019,1251.38,381.420624
6/7/2019,1251.32,381.402336
6/8/2019,1251.27,381.387096
6/9/2019,1251.23,381.374904
6/10/2019,1251.19,381.362712
6/11/2019,1251.16,381.353568
6/12/2019,1251.17,381.356616
6/13/2019,1251.09,381.332232
6/14/2019,1251.06,381.323088
6/15/2019,1251.15,381.35052
6/16/2019,1251.29,381.393192
6/17/2019,1251.17,381.356616
6/18/2019,1251.14,381.347472
6/19/2019,1251.08,381.329184
6/20/2019,1251.02,381.310896
6/21/2019,1250.95,381.28956
6/22/2019,1250.88,381.268224
6/23/2019,1250.83,381.252984
6/24/2019,1250.78,381.237744
6/25/2019,1250.67,381.204216
6/26/2019,1250.56,381.170688
6/27/2019,1250.56,381.170688
6/28/2019,1252.39,381.728472
6/29/2019,1251.83,381.557784
6/30/2019,1251.58,381.481584
7/1/2019,1251.67,381.509016
7/2/2019,1251.81,381.551688
7/3/2019,1251.58,381.481584
7/4/2019,1251.47,381.448056
7/5/2019,1251.42,381.432816
7/6/2019,1252.26,381.688848
7/7/2019,1251.77,381.539496
7/8/2019,1251.55,381.47244
7/9/2019,1251.44,381.438912
7/10/2019,1251.33,381.405384
7/11/2019,1251.25,381.381
7/12/2019,1251.18,381.359664
7/13/2019,1251.12,381.341376
7/14/2019,1251.07,381.326136
7/15/2019,1251.04,381.316992
7/16/2019,1251.15,381.35052
7/17/2019,1251.05,381.32004
7/18/2019,1251.77,381.539496
7/19/2019,1253.03,381.923544
7/20/2019,1252.59,381.789432
7/21/2019,1252.24,381.682752
7/22/2019,1251.91,381.582168
7/23/2019,1251.69,381.515112
7/24/2019,1251.55,381.47244
7/25/2019,1251.44,381.438912
7/26/2019,1251.35,381.41148
7/27/2019,1251.26,381.384048
7/28/2019,1251.21,381.368808
7/29/2019,1251.15,381.35052
7/30/2019,1251.09,381.332232
7/31/2019,1251.04,381.316992
8/1/2019,1250.99,381.301752
8/2/2019,1250.95,381.28956
8/3/2019,1250.9,381.27432
8/4/2019,1250.85,381.25908
8/5/2019,1250.85,381.25908
8/6/2019,1250.84,381.256032
8/7/2019,1250.75,381.2286
8/8/2019,1250.65,381.19812
8/9/2019,1250.56,381.170688
8/10/2019,1250.48,381.146304
8/11/2019,1250.42,381.128016
8/12/2019,1250.35,381.10668
8/13/2019,1250.25,381.0762
8/14/2019,1250.14,381.042672
8/15/2019,1250.03,381.009144
8/16/2019,1249.9,380.96952
8/17/2019,1249.75,380.9238
8/18/2019,1249.59,380.875032
8/19/2019,1249.39,380.814072
8/20/2019,1249.17,380.747016
8/21/2019,1248.91,380.667768
8/22/2019,1248.61,380.576328
8/23/2019,1248.31,380.484888
8/24/2019,1248.02,380.396496
8/25/2019,1247.75,380.3142
8/26/2019,1247.47,380.228856
8/27/2019,1247.22,380.152656
8/28/2019,1246.94,380.067312
8/29/2019,1246.65,379.97892
8/30/2019,1246.37,379.893576
8/31/2019,1246.1,379.81128
