"STATION","NAME","DATE","PRCP","SNOW","SNWD"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-01","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-02","35.1","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-03","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-04","11.9","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-05","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-06","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-07","18.5","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-08","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-09","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-10","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-11","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-12","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-13","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-14","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-15","0.3","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-16","2.3","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-17","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-18","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-19","0.5","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-20","0.8","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-21","15.2","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-22","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-23","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-24","15.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-25","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-26","1.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-27","7.4","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-28","1.3","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-29","0.0","0.0","0.0"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2024-05-30","0.0","0.0","0.0"
